event,sentence
"('Irving,Kyrie', 'pts', '22')","Jaylen Brown scored 25 and Irving 22 and 10 assists for the Celtics, who overcame an 18 point deficit in the third and led with 2:04 left."
"('Irving,Kyrie', 'ast', '10')","Jaylen Brown scored 25 and Irving 22 and 10 assists for the Celtics, who overcame an 18 point deficit in the third and led with 2:04 left."
"('Brown,Jaylen', 'pts', '25')","Jaylen Brown scored 25 and Irving 22 and 10 assists for the Celtics, who overcame an 18 point deficit in the third and led with 2:04 left."
"('Brown,Jaylen', 'ast', '0')","Jaylen Brown scored 25 and Irving 22 and 10 assists for the Celtics, who overcame an 18 point deficit in the third and led with 2:04 left."
"('Wade,Dwyane', 'pts', '8')"," NEW GUYS In his Cleveland debut, Dwyane Wade scored eight points on 3 of 10 shooting in 28 minutes."
"('Wade,Dwyane', 'fg', '3')"," NEW GUYS In his Cleveland debut, Dwyane Wade scored eight points on 3 of 10 shooting in 28 minutes."
"('CLE', 'pts', '102')","Hayward, one of the new Celtics who was going to help them close the gap on Cleveland, broke his left ankle just five minutes into his debut, and Boston was beaten 102 99 on Tuesday night by LeBron James and the Cavaliers."
"('BOS', 'pts', '99')","Hayward, one of the new Celtics who was going to help them close the gap on Cleveland, broke his left ankle just five minutes into his debut, and Boston was beaten 102 99 on Tuesday night by LeBron James and the Cavaliers."
"('Love,Kevin', 'pts', '15')","Love had 15 and Derrick Rose 14 in his debut for the Cavs, who are trying to blend new faces and big egos quickly."
"('James,LeBron', 'pts', '29')", James scored 29 points    13 in the fourth quarter    in his most extensive action in three weeks because of a sprained left ankle.
"('Tatum,Jayson', 'pts', '14')",Boston rookie Jayson Tatum had 14 points and 10 rebounds.
"('Tatum,Jayson', 'trb', '10')",Boston rookie Jayson Tatum had 14 points and 10 rebounds.
"('Rose,Derrick', 'pts', '14')","Love had 15 and Derrick Rose 14 in his debut for the Cavs, who are trying to blend new faces and big egos quickly."
"('Paul,Chris', 'pts', '4')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('Paul,Chris', 'fg', '2')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('Thompson,Klay', 'pts', '16')",Klay Thompson added 16 points.
"('Durant,Kevin', 'pts', '20')","Nick Young came off the bench to hit six 3 pointers and score 23 points in a brilliant Warriors debut, Curry scored 22 points and Durant had 20 after a slow start."
"('HOU', 'pts', '122')","After one official got hurt, two remaining referees reviewed the play and ruled the Rockets had escaped with a 122 121 victory Tuesday on the night the Warriors received their championship rings."
"('Harden,James', 'fg3', '4')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('Harden,James', 'pts', '27')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('Curry,Stephen', 'fg3', '3')","Nick Young came off the bench to hit six 3 pointers and score 23 points in a brilliant Warriors debut, Curry scored 22 points and Durant had 20 after a slow start."
"('Curry,Stephen', 'ft', '3')","Nick Young came off the bench to hit six 3 pointers and score 23 points in a brilliant Warriors debut, Curry scored 22 points and Durant had 20 after a slow start."
"('Curry,Stephen', 'pts', '22')","Nick Young came off the bench to hit six 3 pointers and score 23 points in a brilliant Warriors debut, Curry scored 22 points and Durant had 20 after a slow start."
"('Tucker,P.J.', 'fg3', '4')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('Tucker,P.J.', 'ft', '4')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('Tucker,P.J.', 'pts', '20')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('West,David', 'fg', '2')",Houston acquired Paul from the Clippers to give them a 1 2 backcourt punch to try to gain ground on Golden State in the Western Conference.
"('Ariza,Trevor', 'fg', '3')", Trevor Ariza's 3 pointer with 2:09 remaining pulled Houston within 119 118 then Patrick McCaw hit a baseline jumper immediately after Golden State's timeout.
"('Gordon,Eric', 'fg', '9')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('Gordon,Eric', 'pts', '24')","Chris Paul had four points on 2 for 9 shooting in his Rockets debut, while Harden scored 27 points, Eric Gordon 24 and Tucker 20 for the Rockets."
"('Young,Nick', 'fg3', '6')","Nick Young came off the bench to hit six 3 pointers and score 23 points in a brilliant Warriors debut, Curry scored 22 points and Durant had 20 after a slow start."
"('Young,Nick', 'pts', '23')","Nick Young came off the bench to hit six 3 pointers and score 23 points in a brilliant Warriors debut, Curry scored 22 points and Durant had 20 after a slow start."
"('Green,Draymond', 'ast', '13')","Draymond Green exited in the second half with a strained left knee after he contributed nine points, 13 assists and 11 rebounds."
"('Green,Draymond', 'trb', '11')","Draymond Green exited in the second half with a strained left knee after he contributed nine points, 13 assists and 11 rebounds."
"('Paul,Chris', 'fg', '2')",Houston acquired Paul from the Clippers to give them a 1 2 backcourt punch to try to gain ground on Golden State in the Western Conference.
"('GSW', 'pts', '121')","After one official got hurt, two remaining referees reviewed the play and ruled the Rockets had escaped with a 122 121 victory Tuesday on the night the Warriors received their championship rings."
"('Covington,Robert', 'fg3', '7')","RED HOT COVINGTON Taking advantage of some matchup problems presented by injuries and smaller lineups, Covington shot 7 of 11 from 3 to finish one point off his career high."
"('Gortat,Marcin', 'pts', '16')"," GORTAT'S DEDICATION Gortat, who scored 10 of his 16 points in the fourth quarter and grabbed 17 rebounds, wore ""AW"" on his shoes to honor late Polish basketball player Alex Wojcik, who died of leukemia at age 47 over the summer."
